date,rating,review
2026-06-01,4,"배송은 빨랐지만 포장이 조금 아쉬웠어요."
2026-06-02,5,"제품 품질이 좋고 다시 구매하고 싶습니다."
2026-06-03,2,"고객센터 답변이 늦어서 불편했습니다."
2026-06-04,5,"가성비 최고예요. 주변에도 추천했습니다."
2026-06-05,1,"박스가 찢어진 채로 도착했어요. 교환 요청합니다."
2026-06-07,4,"조립이 간단하고 설명서가 정확해서 좋았어요."
2026-06-08,3,"제품은 무난한데 배송이 예상보다 늦었습니다."
2026-06-10,5,"재질이 튼튼하고 마감이 훌륭합니다. 재구매 의사 있어요."
2026-06-11,2,"사이즈가 상세페이지와 달라서 실망했습니다."
2026-06-12,4,"문의 남겼더니 상담원이 친절하게 답변해주셨어요."
2026-06-14,1,"2주를 기다렸는데 오배송이 왔습니다. 최악이에요."
2026-06-15,5,"색상이 사진 그대로고 품질도 만족합니다."
2026-06-17,3,"가격 대비 그냥 그래요. 특별히 나쁘지도 좋지도 않네요."
2026-06-18,2,"앱에서 결제 오류가 반복돼서 불편했습니다."
2026-06-20,5,"선물용으로 샀는데 포장이 고급스러워서 만족했어요."
2026-06-21,4,"배송 빠르고 제품도 설명과 동일합니다."
2026-06-23,1,"한 달 만에 고장났어요. 환불 절차도 복잡하고 불만입니다."
2026-06-25,4,"사이트에서 쿠폰 적용이 쉬워서 저렴하게 잘 샀습니다."
2026-06-27,2,"부속품이 누락되어 있었어요. 검수 좀 해주세요."
2026-06-29,5,"상담사 응대가 친절했고 교환도 빠르게 처리해주셨습니다."
